id,name,address,description
00b91e43-769a-460e-a206-d534b1c43cf9,Nanyang Community Center,"60 Jurong West Street 91, Singapore 649040","Nanyang Community Center, #04-03\nNearest MRT: Pioneer MRT [walk 11 mins or transfer to bus 241]\nNearest Bus Stop: B27271 (Blk 962) [Available buses: 5N, 99, 241]"
cfbc2c96-0972-4af1-9d7b-3c6e1e5c8071,Bukit Batok East Zone 1 RC,"Block 238 Bukit Batok East Ave 5, #01-193, Singapore 650238","Nearest MRT: Bukit Batok\nNearest Bus Stop: B43179 (Bt Batok East Ave 3 - Blk 231)"
4b57e2e7-a7b4-412c-9d70-bcbf66944ef0,ESR Business Park (Bedok),"750A Chai Chee Road, Singapore 469000","Blk 750A, #07-16, ESR Business Park\nNearest MRT: Kembangan [walk 15 mins or transfer to bus 2, 7, 24, 28, 33]\nNearest Bus Stop: B84011 (Chai Chee Ind Pk) [Available buses: 2, 2A, 7, 24, 25, 28, 30, 30e, 32, 33, 40, 67, 222, 222B, 401, 854]"
32eb110c-d850-4db9-860d-d72257d4fcec,A'Posh Bizhub (Yishun),"#06-10, A'Posh Bizhub, 1 Yishun Industrial Street 1, Singapore 768160","Nearest MRT: Yishun [transfer to bus 811]\nNearest Bus Stop: B59191 (Opp Northland Sec Sch)"
a910312f-fd5f-4370-9c6b-66b40228a157,Our Tampines Hub (Tampines),"1 Tampines Walk, Singapore 528523","Nearest MRT: Tampines [walk 6 mins]\nNearest Bus Stop: B76051 (Our Tampines Hub) [Available buses: 3, 10, 20, 23, 31, 34, 39, 65, 67, 292, 293, 293T]"
